110.72	5.02	55.34
110.55	5.02	55.43
110.42	5.02	55.54
110.40	5.02	55.86
110.47	5.02	56.40
110.56	5.02	56.93
110.63	5.02	57.40
110.60	5.02	57.60
110.40	5.02	57.38
110.15	5.02	57.04
109.89	5.02	56.65
109.65	5.02	56.26
109.66	5.02	56.14
109.71	5.02	56.11
109.74	5.01	56.15
109.70	5.01	56.25
109.54	5.02	56.41
109.14	5.02	56.61
108.60	5.02	56.85
107.92	5.03	57.12
107.11	5.04	57.44
105.89	5.04	57.87
104.47	5.05	58.33
103.18	5.06	58.74
102.17	5.07	59.05
102.01	5.07	58.89
102.73	5.08	58.32
103.76	5.09	57.78
104.95	5.09	57.41
106.10	5.10	57.49
106.77	5.11	58.85
107.36	5.12	60.44
107.87	5.12	62.06
108.30	5.13	63.52
108.49	5.13	64.10
108.68	5.14	64.34
108.99	5.14	64.33
109.54	5.14	64.12
111.05	5.14	63.75
112.59	5.13	63.27
113.94	5.12	62.73
114.65	5.10	62.26
114.21	5.09	61.98
113.37	5.08	61.64
112.28	5.06	61.19
111.22	5.04	60.25
110.30	5.03	58.84
109.41	5.01	57.35
108.58	5.00	55.90
